Year,Incident Date,Incident Type,Track,Inv Location,Racing Type Description,Division,Weather Conditions,Horse,Trainer,Jockey Driver,Incident Description,Death or Injury
2017,09/22/2017,EQUINE DEATH,Belmont Park (NYRA),,Training,Thoroughbred,,Madgirl,THOMAS M. BUSH,,Madgirl-Tr. Thomas Bush-Fx RF Sesamoids breezing-euthanized.,Equine Death
2018,06/23/2018,EQUINE DEATH,Belmont Park (NYRA),1/16 pole,Racing,Thoroughbred,75* Cloudy,New Pass,THOMAS M. BUSH,LUIS SAEZ,Horse New Pass/Tr-T. Bush sustained LF Cannon bone injury in the vicinty of the 1/16 pole-euthanized on the track-,
2019,06/16/2019,RACING INCIDENT,Belmont Park (NYRA),Belmont Park,Racing,Thoroughbred,75*  Cloudy,Clyde's Image,THOMAS M. BUSH,JAVIER J. CASTELLANO,CLYDE'S IMAGE (Tr: Thomas Bush;  J: Javier Castellano) was pulled up while galloping out  and removed via the horse ambulance.,
2020,08/19/2020,EQUINE DEATH,Belmont Park (NYRA),Main Track,Training,Thoroughbred,,Determined One,THOMAS MORLEY,,Determined One - Tr. Thomas Morley - Cardiovascular collapse,Equine Death
2016,06/18/2016,EQUINE DEATH,Belmont Park (NYRA),One mile & one quarter,Training,Thoroughbred,,Escape to vegas,THOMAS MORLEY,,Escape to Vegas-Tr. Tom Morley-pulled up after galloping-ambulanced to barn-xrays revealed fx RF sesamoids-euthanized,Equine Death
2016,04/08/2016,EQUINE DEATH,Belmont Park (NYRA),1/8 pole,Training,Thoroughbred,,It's Elementary,THOMAS MORLEY,,It's Elementary-Tr. Tom Morleys-fx RF leg while breezing on Training Track-euthanized on track,Equine Death
2016,11/12/2016,EQUINE DEATH,Belmont Park (NYRA),1/8 pole,Training,Thoroughbred,458 Clear,Daves gone bananas,THOMAS MORLEY,,Daves Gone Bananas-Tr. Tom Morley-suffered injury while breezing-splint applied-ambulanced to barn-exam revealed fx LF leg-euthanized,Equine Death
2017,09/25/2017,EQUINE DEATH,Belmont Park (NYRA),stables,Other,Thoroughbred,,Sherlock's Hope,THOMAS MORLEY,,Sherlock's Hope - Tr. Tom Morley - developed acute severe laminitis in all four feet,Euthanasia
2018,03/06/2018,EQUINE DEATH,Belmont Park (NYRA),15th/16th pole,Training,Thoroughbred,Cloudy,Ciaran,THOMAS MORLEY,,Ciaran (Tr-T. Morley) suffered a fracture to his left front leg breezing. Vanned off and euthanized.,Euthanasia
2020,06/26/2020,RACING INCIDENT,Belmont Park (NYRA),Belmont,Racing,Thoroughbred,,Lord Cadbury,THOMAS MORLEY,JOEL ROSARIO,Lord Cadbury Tr: Thomas Morley J: Joel Rosario DNF pulled up around 1/2 mile pole and was vanned off,
2016,10/08/2016,RACING INJURY,Belmont Park (NYRA),After finish,Racing,Thoroughbred,60* Cloudy,Protonico,TODD A. PLETCHER,,Protonico-Tr. Todd Pletcher-pulled up-vanned off-retired to stud,Injury
2020,10/09/2020,EQUINE DEATH,Belmont Park (NYRA),Belmont Park,Other,Thoroughbred,68,Blackjack,TODD A. PLETCHER,,Horse Blackjack  Tr-Todd A. Pletcher  horse was Euthanized by Dr. Hunt after being diagnosed with CVM(Wobbler).,
2018,08/06/2018,EQUINE DEATH,Belmont Park (NYRA),Training Track,Training,Thoroughbred,,Gabriella,TODD A. PLETCHER,,Gabriella - Tr. Todd Pletcher - Sustained pelvic fracture while training  vanned off  euthanized,Euthanasia
2019,01/19/2019,EQUINE DEATH,Belmont Park (NYRA),Finish line,Training,Thoroughbred,35* Clear,Speke,TODD A. PLETCHER,,Speke-Tr-T. Pletcher sustained injury to his right shoulder while breezing-euthanized on the track-investigation to follow,
2018,06/07/2018,EQUINE DEATH,Belmont Park (NYRA),1/8 pole,Training,Thoroughbred,60* Cloudy,Montauk,TODD A. PLETCHER,,Montauk-Tr-T. Pletcher sustained shoulder injury while breezing and was euthanized due to poor prognosis.,
2017,06/02/2017,FALL OF RIDER,Belmont Park (NYRA),After Start,Racing,Thoroughbred,75* Clear,Mo Focused,TODD A. PLETCHER,MANUEL FRANCO,Mo Focused-Tr. Todd Pletcher-bolted thru inside rail unseating his rider Manuel Franco-rider treated and released-no reported injuries to horse,
2017,09/16/2017,RACING INCIDENT,Belmont Park (NYRA),Stretch,Racing,Thoroughbred,75*  Clear,Faja,TODD A. PLETCHER,,Faja-Tr. Todd Pletcher-eased up-walked off track-no injuries reported-retired,
2018,01/09/2018,EQUINE DEATH,Belmont Park (NYRA),1/2 mile pole,Training,Thoroughbred,35* Clear,Alex the Terror,TODD A. PLETCHER,,Alex the Terror - Tr. Todd Pletcher - Fx LF Sesamoids while galloping on the Belmont TT-vanned off- X-rays revealed a fracture-euthanized.,
2019,07/27/2019,EQUINE DEATH,Belmont Park (NYRA),Belmont Park,Training,Thoroughbred,,La Fuerza,TODD A. PLETCHER,AMOY GRAY,La Fuerza-Tr. Pletcher-Sustained RF shoulder/leg injury galloping on main track-ambulanced to barn-euthanized.,Euthanasia
2016,09/22/2016,FALL OF HORSE,Belmont Park (NYRA),on 10th frame,Racing,Thoroughbred,Sunny 73,Rudyard K,TODD J. WYATT,JACK DOYLE,Rudyard K-Tr. Todd J. Wyatt-flipped on 10th fence unseating rider Jack Doyle-fell on rider-both vanned off-no injuries to horse reported-rider returned to race,
2018,06/09/2018,RACING INJURY,Belmont Park (NYRA),After finish,Racing,Thoroughbred,75* Clear,Discreet Lover,URIAH A. ST LEWIS,MANUEL FRANCO,Discreet Lover-Tr U. St Lewis-pulled up-vanned off after the finish of the 9th race-Treated for heat exhaustion-doing fine-back in training,
2019,06/30/2019,EQUINE DEATH,Belmont Park (NYRA),Belmont Inner Turf,Racing,Thoroughbred,Sunny; warm,Fancy Persuasion,WESLEY A. WARD,IRAD ORTIZ JR,FANCY PERSUASION  (Tr: W. Ward;  J: Irad Ordiz  Jr) bolted outward and collapsed on the track.,Equine Death
2016,06/16/2016,STEWARDS/VETS LIST,Belmont Park (NYRA),After the finish,Racing,Thoroughbred,Cloudy,Roaring Bull,WILLIAM H. TURNER,SAMUEL CAMACHO,Roaring Bull-Tr. William H. Turner  Jr.-pulled up-walked off-small fx in sesamoid-given time off to heal-horse back racing,
2020,06/26/2020,RACING INCIDENT,Belmont Park (NYRA),Belmont,Racing,Thoroughbred,,No Salt,WILLIAM I. MOTT,JUNIOR R. ALVARADO,No Salt Tr: William l. Mott J: Junior Alvardo  Veered off the gate unseated rider and was vanned off the track,
2020,10/25/2020,EQUINE DEATH,Belmont Park (NYRA),Belmont Park,Training,Thoroughbred,Windy/Chill,Hemlock,WILLIAM I. MOTT,BENJAMIN HERNANDEZ SOTO,H:Hemlock  Jockey: Benjamin Hernandez  Tr: William Mott  horse which has not raced since 11/2019 sustained a left hind leg injury while breezing on the main track at the 1/2 pole. Dr. Hunt euthanized horse on track.,
2019,03/28/2019,EQUINE DEATH,Belmont Park (NYRA),7/8 pole,Training,Thoroughbred,36* Partly cloudy,Miss Mimosa,WILLIAM I. MOTT,STEVE SCHMELZEL,Miss Mimosa/Tr-W. Mott collapsed from a Cardiovascular Collapse while galloping.,Equine Death
2020,06/03/2020,FALL OF RIDER,Belmont Park (NYRA),Belmont,Racing,Thoroughbred,cloudy,Hidden Scroll,WILLIAM MOTT JR,JOHN R. VELAZQUEZ,Hidden Scroll Tr: WI Mott J: John Velazquez Horse stumble out gate and unseats the Jockey.,
2020,06/18/2020,EQUINE DEATH,Belmont Park (NYRA),,Racing,Thoroughbred,70  cloudy,SMIDGE (KY),WILLIAM YOUNGHANS,TALBERT HOWELL,SMIDGE (KY)-Tr. Younghans-Friday  June 18  2020  in the 2nd race sustained injury to left rear leg near the 1/4pole and was vanned off the track. Subsequent examination revealed necessity for euthanization. Investigation initiated.,Injury
2019,12/29/2019,EQUINE DEATH,Belmont Park (NYRA),Belmont Park,Other,Thoroughbred,44,SOLAR FIRE,,,SOLAR FIRE  racehorse; Tr: John Toscano  Jr.;  on 12/29/2019 at Belmont Park  2 yo colt  sustained a R Elbow injury in his stall. The racehorse was examined by veterinarian and euthanized due to extent of injury. Investigation initiated.,Euthanasia
2019,10/11/2019,RACING INCIDENT,Belmont Park (NYRA),Belmont,Racing,Thoroughbred,,Woodbury,,,Woodbury-Trainer Rudy Rodriguez-Jockey Irad Ortiz  8th race horse was vanned off after completing race. Uninjured.,
2016,06/17/2016,EQUINE DEATH,Belmont Park (NYRA),3/4 pole,Racing,Thoroughbred,Sunny; Clear,Bonita Luna,,ERIC CANCEL,Bonita Luna-Tr. Oscar S. Barrera-pulled up-splint applied-ambulanced off-fx LF leg fracture-euthanized,Equine Death
2020,10/09/2020,EQUINE DEATH,Belmont Park (NYRA),Belmont Park,Other,Thoroughbred,,alysinawonderland,,,Horse Alysinawonderland  Tr Goberdhan Chandradat  horse was found dead in the stall with no visible lesions.,
2017,09/23/2017,EQUINE DEATH,Belmont Park (NYRA),Training track,Training,Thoroughbred,sunny,al's nightmare,,,Al's Nightmare-Tr. Charlton Baker-breezing on training track sustained injury to left front cannon bone  subsequently euthanized.,Euthanasia
2016,06/23/2016,RACING INCIDENT,Belmont Park (NYRA),Paddock,Racing,Thoroughbred,,Princess Chris,,,Princess Chris-Tr. Joseph J. Parker-sufferd heat stroke in the Paddock area-treated by NYRA Vets and sent to test barn,Injury
2017,06/01/2017,RACING INJURY,Belmont Park (NYRA),After Finish,Racing,Thoroughbred,75* Clear,Cursor,,JOSE L. ORTIZ,Cursor-Tr-M. Hennig-amblanced off after finish-pulled shoe-no injury reported,
2016,06/04/2016,EQUINE DEATH,Belmont Park (NYRA),Barn/Stall,Other,Thoroughbred,,Go Go Jo,,,Go Go Jo-Owner Al Holm-21 yo T'bred used as pony found recumbent in stall-rolled multiple times-unable to rise-aggressively medicated w/o improvement-humanely euthanized,Equine Death
2016,06/10/2016,RACING INCIDENT,Belmont Park (NYRA),3/4 pole,Racing,Thoroughbred,75* Clear,Said No One Ever,,,Said No One Ever-Tr. Jena Antonucci-rein broke in the vicinity of the 3/4 pole-no injuries reported.,
2019,03/23/2019,EQUINE DEATH,Belmont Park (NYRA),Belmont Training Track,Training,Thoroughbred,Clear  Windy,MISS MARILYN,,,MISS MARILYN (Tr. Danny Gargan) sustained a LF leg injury necessitating euthanasia on the track. An investigation was initiated.,Euthanasia
2019,03/03/2019,EQUINE DEATH,Belmont Park (NYRA),Ruffian Hospital,Other,Thoroughbred,cold  clear,QUEEN BODE,,,QUEEN BODE  Tr. J. Englehart  was euthanized at Ruffian Hospital  3/3/2019,Euthanasia
2020,12/30/2020,EQUINE DEATH,Belmont Park (NYRA),Belmont TT,Training,Thoroughbred,cold/clear 37 degrees,Rock N Warrior,,,racehorse ROCK N WARRIOR  Tr P. Serpe  sustained a LFL condylar injury 11/1/2020 while breezing on Belmont TT. Sent to Ruffian for repair; however  poor prognosis resulted in  euthanasia on 12/30/20.,Euthanasia
2020,06/07/2020,EQUINE DEATH,Belmont Park (NYRA),,Racing,Thoroughbred,78,TALAKO,,JAVIER J. CASTELLANO,TALAKO (racehorse)-Tr. J. Abreu-in the 2nd race sustained an injury to LF Leg and was euthanized on track.,Euthanasia
2020,09/23/2020,EQUINE DEATH,Belmont Park (NYRA),Belmont,Other,Thoroughbred,Sunny,Sea Sparkle,,,H-Sea Sparkle  Tr-Goberdhan Chandradat  horse found dead in stall  believed to have  succumbed to colic of undetermined duration. Dr Yong attending veterinarian.,
